Model,812,383,44,534,399,302,141,268,484,641,548,549,34,528,143,118,152,343,123,72,461,688,562,13,276,203,104,645,530,131,24,664,529,431,209,350,502,540,271,304,349,456,751,395,656,55,788,192,782,489,326,538,503
812,56,45,29,2,36,38,31,33,33,24,13,13,13,13,41,37,37,35,35,35,35,46,33,33,33,33,33,33,33,33,33,33,30,41,41,32,32,32,12,54,54,54,54,33,20,33,16,28,43,43,48,19,19
383,45,74,30,8,45,46,41,45,41,33,18,18,18,18,59,50,50,44,44,44,44,60,39,39,39,39,39,39,39,39,39,39,37,58,58,36,36,36,16,70,70,70,70,40,25,40,21,37,58,58,59,23,23
44,29,30,81,5,50,35,55,68,55,44,27,27,27,27,57,32,32,55,55,55,55,73,24,24,24,24,24,24,24,24,24,24,31,45,45,56,56,56,11,79,79,79,79,55,10,59,11,58,59,59,74,46,46
534,2,8,5,21,11,3,13,20,11,11,6,6,6,6,15,7,7,11,11,11,11,11,5,5,5,5,5,5,5,5,5,5,8,9,9,17,17,17,4,15,15,15,15,13,1,13,2,14,7,7,19,13,13
399,36,45,50,11,109,39,74,96,71,57,28,28,28,28,73,35,35,71,71,71,71,94,29,29,29,29,29,29,29,29,29,29,45,53,53,76,76,76,23,103,103,103,103,78,22,87,13,79,76,76,104,59,59
302,38,46,35,3,39,71,33,48,44,27,15,15,15,15,61,50,50,50,50,50,50,63,30,30,30,30,30,30,30,30,30,30,35,64,64,36,36,36,15,68,68,68,68,38,26,40,20,40,67,67,58,22,22
141,31,41,55,13,74,33,114,97,79,64,40,40,40,40,79,33,33,77,77,77,77,98,30,30,30,30,30,30,30,30,30,30,51,53,53,78,78,78,19,108,108,108,108,79,18,91,11,86,78,78,104,67,67
268,33,45,68,20,96,48,97,149,99,81,48,48,48,48,101,40,40,97,97,97,97,127,32,32,32,32,32,32,32,32,32,32,58,65,65,108,108,108,25,138,138,138,138,104,21,120,15,119,104,104,141,92,92
484,33,41,55,11,71,44,79,99,116,60,32,32,32,32,80,34,34,85,85,85,85,104,25,25,25,25,25,25,25,25,25,25,44,56,56,78,78,78,22,114,114,114,114,80,22,94,15,88,82,82,107,65,65
641,24,33,44,11,57,27,64,81,60,92,32,32,32,32,66,28,28,63,63,63,63,75,21,21,21,21,21,21,21,21,21,21,46,46,46,71,71,71,17,88,88,88,88,73,16,78,11,72,62,62,85,56,56
548,13,18,27,6,28,15,40,48,32,32,58,58,58,58,39,18,18,32,32,32,32,47,11,11,11,11,11,11,11,11,11,11,25,30,30,44,44,44,5,51,51,51,51,35,5,46,9,45,36,36,51,33,33
549,13,18,27,6,28,15,40,48,32,32,58,58,58,58,39,18,18,32,32,32,32,47,11,11,11,11,11,11,11,11,11,11,25,30,30,44,44,44,5,51,51,51,51,35,5,46,9,45,36,36,51,33,33
34,13,18,27,6,28,15,40,48,32,32,58,58,58,58,39,18,18,32,32,32,32,47,11,11,11,11,11,11,11,11,11,11,25,30,30,44,44,44,5,51,51,51,51,35,5,46,9,45,36,36,51,33,33
528,13,18,27,6,28,15,40,48,32,32,58,58,58,58,39,18,18,32,32,32,32,47,11,11,11,11,11,11,11,11,11,11,25,30,30,44,44,44,5,51,51,51,51,35,5,46,9,45,36,36,51,33,33
143,41,59,57,15,73,61,79,101,80,66,39,39,39,39,131,63,63,84,84,84,84,116,43,43,43,43,43,43,43,43,43,43,56,87,87,81,81,81,22,122,122,122,122,75,28,88,27,88,100,100,111,63,63
118,37,50,32,7,35,50,33,40,34,28,18,18,18,18,63,67,67,42,42,42,42,59,38,38,38,38,38,38,38,38,38,38,35,64,64,35,35,35,10,62,62,62,62,28,25,26,24,32,56,56,49,17,17
152,37,50,32,7,35,50,33,40,34,28,18,18,18,18,63,67,67,42,42,42,42,59,38,38,38,38,38,38,38,38,38,38,35,64,64,35,35,35,10,62,62,62,62,28,25,26,24,32,56,56,49,17,17
343,35,44,55,11,71,50,77,97,85,63,32,32,32,32,84,42,42,116,116,116,116,102,25,25,25,25,25,25,25,25,25,25,56,62,62,78,78,78,23,111,111,111,111,79,24,89,18,83,85,85,106,61,61
123,35,44,55,11,71,50,77,97,85,63,32,32,32,32,84,42,42,116,116,116,116,102,25,25,25,25,25,25,25,25,25,25,56,62,62,78,78,78,23,111,111,111,111,79,24,89,18,83,85,85,106,61,61
72,35,44,55,11,71,50,77,97,85,63,32,32,32,32,84,42,42,116,116,116,116,102,25,25,25,25,25,25,25,25,25,25,56,62,62,78,78,78,23,111,111,111,111,79,24,89,18,83,85,85,106,61,61
461,35,44,55,11,71,50,77,97,85,63,32,32,32,32,84,42,42,116,116,116,116,102,25,25,25,25,25,25,25,25,25,25,56,62,62,78,78,78,23,111,111,111,111,79,24,89,18,83,85,85,106,61,61
688,46,60,73,11,94,63,98,127,104,75,47,47,47,47,116,59,59,102,102,102,102,156,38,38,38,38,38,38,38,38,38,38,60,85,85,99,99,99,28,149,149,149,149,98,28,115,26,113,116,116,140,83,83
562,33,39,24,5,29,30,30,32,25,21,11,11,11,11,43,38,38,25,25,25,25,38,48,48,48,48,48,48,48,48,48,48,22,40,40,27,27,27,5,44,44,44,44,24,15,22,18,24,39,39,36,17,17
13,33,39,24,5,29,30,30,32,25,21,11,11,11,11,43,38,38,25,25,25,25,38,48,48,48,48,48,48,48,48,48,48,22,40,40,27,27,27,5,44,44,44,44,24,15,22,18,24,39,39,36,17,17
276,33,39,24,5,29,30,30,32,25,21,11,11,11,11,43,38,38,25,25,25,25,38,48,48,48,48,48,48,48,48,48,48,22,40,40,27,27,27,5,44,44,44,44,24,15,22,18,24,39,39,36,17,17
203,33,39,24,5,29,30,30,32,25,21,11,11,11,11,43,38,38,25,25,25,25,38,48,48,48,48,48,48,48,48,48,48,22,40,40,27,27,27,5,44,44,44,44,24,15,22,18,24,39,39,36,17,17
104,33,39,24,5,29,30,30,32,25,21,11,11,11,11,43,38,38,25,25,25,25,38,48,48,48,48,48,48,48,48,48,48,22,40,40,27,27,27,5,44,44,44,44,24,15,22,18,24,39,39,36,17,17
645,33,39,24,5,29,30,30,32,25,21,11,11,11,11,43,38,38,25,25,25,25,38,48,48,48,48,48,48,48,48,48,48,22,40,40,27,27,27,5,44,44,44,44,24,15,22,18,24,39,39,36,17,17
530,33,39,24,5,29,30,30,32,25,21,11,11,11,11,43,38,38,25,25,25,25,38,48,48,48,48,48,48,48,48,48,48,22,40,40,27,27,27,5,44,44,44,44,24,15,22,18,24,39,39,36,17,17
131,33,39,24,5,29,30,30,32,25,21,11,11,11,11,43,38,38,25,25,25,25,38,48,48,48,48,48,48,48,48,48,48,22,40,40,27,27,27,5,44,44,44,44,24,15,22,18,24,39,39,36,17,17
24,33,39,24,5,29,30,30,32,25,21,11,11,11,11,43,38,38,25,25,25,25,38,48,48,48,48,48,48,48,48,48,48,22,40,40,27,27,27,5,44,44,44,44,24,15,22,18,24,39,39,36,17,17
664,33,39,24,5,29,30,30,32,25,21,11,11,11,11,43,38,38,25,25,25,25,38,48,48,48,48,48,48,48,48,48,48,22,40,40,27,27,27,5,44,44,44,44,24,15,22,18,24,39,39,36,17,17
529,30,37,31,8,45,35,51,58,44,46,25,25,25,25,56,35,35,56,56,56,56,60,22,22,22,22,22,22,22,22,22,22,79,49,49,48,48,48,19,75,75,75,75,52,22,56,15,50,58,58,67,34,34
431,41,58,45,9,53,64,53,65,56,46,30,30,30,30,87,64,64,62,62,62,62,85,40,40,40,40,40,40,40,40,40,40,49,96,96,51,51,51,20,90,90,90,90,52,31,54,27,54,83,83,77,34,34
209,41,58,45,9,53,64,53,65,56,46,30,30,30,30,87,64,64,62,62,62,62,85,40,40,40,40,40,40,40,40,40,40,49,96,96,51,51,51,20,90,90,90,90,52,31,54,27,54,83,83,77,34,34
350,32,36,56,17,76,36,78,108,78,71,44,44,44,44,81,35,35,78,78,78,78,99,27,27,27,27,27,27,27,27,27,27,48,51,51,122,122,122,18,111,111,111,111,84,17,101,20,92,77,77,116,85,85
502,32,36,56,17,76,36,78,108,78,71,44,44,44,44,81,35,35,78,78,78,78,99,27,27,27,27,27,27,27,27,27,27,48,51,51,122,122,122,18,111,111,111,111,84,17,101,20,92,77,77,116,85,85
540,32,36,56,17,76,36,78,108,78,71,44,44,44,44,81,35,35,78,78,78,78,99,27,27,27,27,27,27,27,27,27,27,48,51,51,122,122,122,18,111,111,111,111,84,17,101,20,92,77,77,116,85,85
271,12,16,11,4,23,15,19,25,22,17,5,5,5,5,22,10,10,23,23,23,23,28,5,5,5,5,5,5,5,5,5,5,19,20,20,18,18,18,33,33,33,33,33,26,10,29,2,24,29,29,32,13,13
304,54,70,79,15,103,68,108,138,114,88,51,51,51,51,122,62,62,111,111,111,111,149,44,44,44,44,44,44,44,44,44,44,75,90,90,111,111,111,33,173,173,173,173,114,33,130,26,123,124,124,155,90,90
